metric,year,value
WACC,,0.0949000000000000
Terminal value ($M),,9265.16281994792
NPV excl. TV ($M),,252.715092162442
NPV incl. TV ($M),,3994.75571709648
FCF ($M),2026,4.50229999999999
FCF ($M),2027,-14.6243023168091
FCF ($M),2028,-150.489565339927
FCF ($M),2029,-183.681925862816
FCF ($M),2030,-177.848188596128
FCF ($M),2031,-92.1244536537454
FCF ($M),2032,19.3359206910737
FCF ($M),2033,160.797864407678
FCF ($M),2034,314.889944313791
FCF ($M),2035,474.266177936894
FCF ($M),2036,631.838908404253
EBITDA total ($M),2026,141.510000000000
EBITDA total ($M),2027,113.459859839988
EBITDA total ($M),2028,69.3293625480451
EBITDA total ($M),2029,75.6959919687453
EBITDA total ($M),2030,127.933988224483
EBITDA total ($M),2031,220.377460748294
EBITDA total ($M),2032,326.419069439827
EBITDA total ($M),2033,459.860088229695
EBITDA total ($M),2034,608.753348375056
EBITDA total ($M),2035,775.844079365609
EBITDA total ($M),2036,944.094395074319
Revenue total ($M),2026,1187.07500000000
Revenue total ($M),2027,1114.97943000000
Revenue total ($M),2028,1107.35208580455
Revenue total ($M),2029,1152.06913273106
Revenue total ($M),2030,1288.64547072509
Revenue total ($M),2031,1488.85472483581
Revenue total ($M),2032,1684.50272863087
Revenue total ($M),2033,1901.66546156845
Revenue total ($M),2034,2116.81163620404
Revenue total ($M),2035,2343.63056699885
Revenue total ($M),2036,2560.67958532693
Revenue USS,2026,469.800000000000
Revenue USS,2027,434.124900000000
Revenue USS,2028,400.988146383000
Revenue USS,2029,376.445089919586
Revenue USS,2030,361.307637833258
Revenue USS,2031,355.347654753688
Revenue USS,2032,353.080259269405
Revenue USS,2033,359.796342174353
Revenue USS,2034,369.592582189740
Revenue USS,2035,381.943273497876
Revenue USS,2036,394.729661955163
Revenue SPN,2026,179.775000000000
Revenue SPN,2027,189.060900000000
Revenue SPN,2028,197.033312404500
Revenue SPN,2029,240.183750465257
Revenue SPN,2030,302.421634855314
Revenue SPN,2031,385.120937746048
Revenue SPN,2032,468.361266950262
Revenue SPN,2033,558.241835751447
Revenue SPN,2034,629.030648333135
Revenue SPN,2035,688.438599146845
Revenue SPN,2036,733.993476111620
Revenue FIS,2026,79.5000000000000
Revenue FIS,2027,73.1472000000000
Revenue FIS,2028,71.4913308480000
Revenue FIS,2029,69.8851050475603
Revenue FIS,2030,76.3254597083408
Revenue FIS,2031,85.4470842464501
Revenue FIS,2032,97.2442643462017
Revenue FIS,2033,112.811366374384
Revenue FIS,2034,129.197526605728
Revenue FIS,2035,145.967943936108
Revenue FIS,2036,162.585787656227
Revenue EMS,2026,36.0000000000000
Revenue EMS,2027,33.4200600000000
Revenue EMS,2028,31.0250114001000
Revenue EMS,2029,35.1060831581118
Revenue EMS,2030,38.8631625125858
Revenue EMS,2031,57.0483665802446
Revenue EMS,2032,83.4395140442294
Revenue EMS,2033,118.801437617868
Revenue EMS,2034,161.965735856375
Revenue EMS,2035,211.891147670215
Revenue EMS,2036,265.970138325472
Revenue ANS,2026,350.000000000000
Revenue ANS,2027,318.386250000000
Revenue ANS,2028,344.764261968750
Revenue ANS,2029,372.845896224325
Revenue ANS,2030,447.921231039373
Revenue ANS,2031,535.418990376916
Revenue ANS,2032,595.968517402060
Revenue ANS,2033,640.460496505926
Revenue ANS,2034,683.925829023530
Revenue ANS,2035,730.076626053139
Revenue ANS,2036,774.505836010781
Revenue NPS,2026,72.0000000000000
Revenue NPS,2027,66.8401200000000
Revenue NPS,2028,62.0500228002000
Revenue NPS,2029,57.6032079162237
Revenue NPS,2030,61.8063447762200
Revenue NPS,2031,70.4716911324647
Revenue NPS,2032,86.4089066187106
Revenue NPS,2033,111.553983144470
Revenue NPS,2034,143.099314195527
Revenue NPS,2035,185.312976694668
Revenue NPS,2036,228.894685267663
EBITDA USS,2026,22.4700000000000
EBITDA USS,2027,18.4373399799583
EBITDA USS,2028,4.75469872492971
EBITDA USS,2029,-1.80259202575223
EBITDA USS,2030,-1.24898048013472
EBITDA USS,2031,0.640091749889621
EBITDA USS,2032,4.06226678766274
EBITDA USS,2033,13.5973828031006
EBITDA USS,2034,26.5117810565617
EBITDA USS,2035,42.2596881267166
EBITDA USS,2036,59.6435845547300
EBITDA SPN,2026,15.9400000000000
EBITDA SPN,2027,16.6431856829790
EBITDA SPN,2028,15.8531476766989
EBITDA SPN,2029,30.8773086564933
EBITDA SPN,2030,61.5205786586931
EBITDA SPN,2031,110.533910434710
EBITDA SPN,2032,168.331274938205
EBITDA SPN,2033,235.058311133993
EBITDA SPN,2034,294.406278237303
EBITDA SPN,2035,347.874025602136
EBITDA SPN,2036,392.360577261666
EBITDA FIS,2026,3.90000000000000
EBITDA FIS,2027,0.720119849860737
EBITDA FIS,2028,-7.77562215679257
EBITDA FIS,2029,-11.3801623422023
EBITDA FIS,2030,-10.9481524790998
EBITDA FIS,2031,-9.00827686559339
EBITDA FIS,2032,-5.42892527297296
EBITDA FIS,2033,2.44635228909446
EBITDA FIS,2034,13.0332752142127
EBITDA FIS,2035,25.6871506252367
EBITDA FIS,2036,39.6889600345054
EBITDA EMS,2026,-5.80000000000000
EBITDA EMS,2027,-7.31882885175487
EBITDA EMS,2028,-20.2051542360246
EBITDA EMS,2029,-22.6163695936374
EBITDA EMS,2030,-26.0050974488870
EBITDA EMS,2031,-19.5059014463545
EBITDA EMS,2032,-6.32621867480042
EBITDA EMS,2033,14.4344251780161
EBITDA EMS,2034,45.2257707615120
EBITDA EMS,2035,84.6268872950972
EBITDA EMS,2036,128.713545634631
EBITDA ANS,2026,102.000000000000
EBITDA ANS,2027,83.6064143430177
EBITDA ANS,2028,85.5421024364587
EBITDA ANS,2029,92.9922272787662
EBITDA ANS,2030,118.072684549662
EBITDA ANS,2031,148.516615338315
EBITDA ANS,2032,168.988966964468
EBITDA ANS,2033,183.379277888107
EBITDA ANS,2034,197.230100832342
EBITDA ANS,2035,211.750284877456
EBITDA ANS,2036,225.030049879965
EBITDA NPS,2026,3.00000000000000
EBITDA NPS,2027,1.37162883592667
EBITDA NPS,2028,-8.83980989722497
EBITDA NPS,2029,-12.3744200049222
EBITDA NPS,2030,-13.4570445757508
EBITDA NPS,2031,-10.7989784626719
EBITDA NPS,2032,-3.20829530273441
EBITDA NPS,2033,10.9443389373844
EBITDA NPS,2034,32.3461422731247
EBITDA NPS,2035,63.6460428389660
EBITDA NPS,2036,98.6576777088208
Q USS,2026,234.900000000000
Q USS,2027,219.255000000000
Q USS,2028,204.564915000000
Q USS,2029,193.984065695000
Q USS,2030,184.112133293435
Q USS,2031,178.026620362775
Q USS,2032,172.973836798469
Q USS,2033,169.509589732972
Q USS,2034,165.652447220863
Q USS,2035,161.428733257065
Q USS,2036,156.238008128841
Q SPN,2026,119.850000000000
Q SPN,2027,127.960000000000
Q SPN,2028,135.386680000000
Q SPN,2029,161.315772440000
Q SPN,2030,190.507615686520
Q SPN,2031,222.743605435523
Q SPN,2032,247.819783871343
Q SPN,2033,271.215858351963
Q SPN,2034,283.044395842382
Q SPN,2035,289.080421320942
Q SPN,2036,289.712033092439
Q FIS,2026,39.7500000000000
Q FIS,2027,37.3200000000000
Q FIS,2028,37.2195600000000
Q FIS,2029,37.1258494800000
