metric,year,value
Rock supply (kt),2026,1300
Rock supply (kt),2027,1550
Rock supply (kt),2028,1800
Rock supply (kt),2029,2050
Rock supply (kt),2030,2300
Rock supply (kt),2031,2500
Rock supply (kt),2032,2700
Rock supply (kt),2033,2950
Rock supply (kt),2034,3200
Rock supply (kt),2035,3400
Rock supply (kt),2036,3500
Rock allocated total (kt),2026,1149
Rock allocated total (kt),2027,1367
Rock allocated total (kt),2028,1590
Rock allocated total (kt),2029,1818
Rock allocated total (kt),2030,2046
Rock allocated total (kt),2031,2244
Rock allocated total (kt),2032,2442
Rock allocated total (kt),2033,2650
Rock allocated total (kt),2034,2836
Rock allocated total (kt),2035,3027
Rock allocated total (kt),2036,3208
Revenue total ($M),2026,1187.075000
Revenue total ($M),2027,1114.979430
Revenue total ($M),2028,1107.352086
Revenue total ($M),2029,1152.069133
Revenue total ($M),2030,1288.645471
Revenue total ($M),2031,1488.854725
Revenue total ($M),2032,1684.502729
Revenue total ($M),2033,1901.665462
Revenue total ($M),2034,2116.811636
Revenue total ($M),2035,2343.630567
Revenue total ($M),2036,2560.679585
EBITDA total ($M),2026,141.510000
EBITDA total ($M),2027,113.459860
EBITDA total ($M),2028,69.329363
EBITDA total ($M),2029,75.695992
EBITDA total ($M),2030,127.933988
EBITDA total ($M),2031,220.377461
EBITDA total ($M),2032,326.419069
EBITDA total ($M),2033,459.860088
EBITDA total ($M),2034,608.753348
EBITDA total ($M),2035,775.844079
EBITDA total ($M),2036,944.094395
Depreciation ($M),2026,60
Depreciation ($M),2027,65
Depreciation ($M),2028,70
Depreciation ($M),2029,78
Depreciation ($M),2030,88
Depreciation ($M),2031,100
Depreciation ($M),2032,115
Depreciation ($M),2033,130
Depreciation ($M),2034,150
Depreciation ($M),2035,170
Depreciation ($M),2036,195
Capex total ($M),2026,115
Capex total ($M),2027,115
Capex total ($M),2028,220
Capex total ($M),2029,260
Capex total ($M),2030,295
Capex total ($M),2031,280
Capex total ($M),2032,250
Capex total ($M),2033,210
Capex total ($M),2034,170
Capex total ($M),2035,138
Capex total ($M),2036,110
FCF ($M),2026,4.502300
FCF ($M),2027,-14.624302
FCF ($M),2028,-150.489565
FCF ($M),2029,-183.681926
FCF ($M),2030,-177.848189
FCF ($M),2031,-92.124454
FCF ($M),2032,19.335921
FCF ($M),2033,160.797864
FCF ($M),2034,314.889944
FCF ($M),2035,474.266178
FCF ($M),2036,631.838908
Discount factor,2026,1
Discount factor,2027,0.913325
Discount factor,2028,0.834163
Discount factor,2029,0.761863
Discount factor,2030,0.695828
Discount factor,2031,0.635518
Discount factor,2032,0.580435
Discount factor,2033,0.530126
Discount factor,2034,0.484177
Discount factor,2035,0.442211
Discount factor,2036,0.403883
Discounted FCF ($M),2026,4.502300
Discounted FCF ($M),2027,-13.356747
Discounted FCF ($M),2028,-125.532875
Discounted FCF ($M),2029,-139.940383
Discounted FCF ($M),2030,-123.751828
Discounted FCF ($M),2031,-58.546730
Discounted FCF ($M),2032,11.223237
Discounted FCF ($M),2033,85.243071
Discounted FCF ($M),2034,152.462538
Discounted FCF ($M),2035,209.725893
Discounted FCF ($M),2036,255.188917
Revenue USS,2026,469.800000
Revenue USS,2027,434.124900
Revenue USS,2028,400.988146
Revenue USS,2029,376.445090
Revenue USS,2030,361.307638
Revenue USS,2031,355.347655
Revenue USS,2032,353.080259
Revenue USS,2033,359.796342
Revenue USS,2034,369.592582
Revenue USS,2035,381.943273
Revenue USS,2036,394.729662
Revenue SPN,2026,179.775000
Revenue SPN,2027,189.060900
Revenue SPN,2028,197.033312
Revenue SPN,2029,240.183750
Revenue SPN,2030,302.421635
Revenue SPN,2031,385.120938
Revenue SPN,2032,468.361267
Revenue SPN,2033,558.241836
Revenue SPN,2034,629.030648
Revenue SPN,2035,688.438599
Revenue SPN,2036,733.993476
Revenue FIS,2026,79.500000
Revenue FIS,2027,73.147200
Revenue FIS,2028,71.491331
Revenue FIS,2029,69.885105
Revenue FIS,2030,76.325460
Revenue FIS,2031,85.447084
Revenue FIS,2032,97.244264
Revenue FIS,2033,112.811366
Revenue FIS,2034,129.197527
Revenue FIS,2035,145.967944
Revenue FIS,2036,162.585788
Revenue EMS,2026,36
Revenue EMS,2027,33.420060
Revenue EMS,2028,31.025011
Revenue EMS,2029,35.106083
Revenue EMS,2030,38.863163
Revenue EMS,2031,57.048367
Revenue EMS,2032,83.439514
Revenue EMS,2033,118.801438
Revenue EMS,2034,161.965736
Revenue EMS,2035,211.891148
Revenue EMS,2036,265.970138
Revenue ANS,2026,350
Revenue ANS,2027,318.386250
Revenue ANS,2028,344.764262
Revenue ANS,2029,372.845896
Revenue ANS,2030,447.921231
Revenue ANS,2031,535.418990
Revenue ANS,2032,595.968517
Revenue ANS,2033,640.460497
Revenue ANS,2034,683.925829
Revenue ANS,2035,730.076626
Revenue ANS,2036,774.505836
Revenue NPS,2026,72
Revenue NPS,2027,66.840120
Revenue NPS,2028,62.050023
Revenue NPS,2029,57.603208
Revenue NPS,2030,61.806345
Revenue NPS,2031,70.471691
Revenue NPS,2032,86.408907
Revenue NPS,2033,111.553983
Revenue NPS,2034,143.099314
Revenue NPS,2035,185.312977
Revenue NPS,2036,228.894685
EBITDA USS,2026,22.470000
EBITDA USS,2027,18.437340
EBITDA USS,2028,4.754699
EBITDA USS,2029,-1.802592
EBITDA USS,2030,-1.248980
EBITDA USS,2031,0.640092
EBITDA USS,2032,4.062267
EBITDA USS,2033,13.597383
EBITDA USS,2034,26.511781
EBITDA USS,2035,42.259688
EBITDA USS,2036,59.643585
EBITDA SPN,2026,15.940000
EBITDA SPN,2027,16.643186
EBITDA SPN,2028,15.853148
EBITDA SPN,2029,30.877309
EBITDA SPN,2030,61.520579
EBITDA SPN,2031,110.533910
EBITDA SPN,2032,168.331275
EBITDA SPN,2033,235.058311
EBITDA SPN,2034,294.406278
EBITDA SPN,2035,347.874026
EBITDA SPN,2036,392.360577
EBITDA FIS,2026,3.900000
EBITDA FIS,2027,0.720120
